city,contaminants,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Бобруйск,Твердые частицы,34,32,21,<15,<15,<15,<15,<15,<15,<15
Бобруйск,Оксид углерода,1151,1207,799,833,931,712,812,738,769,879
Бобруйск,Диоксид азота,26,26,27,44,36,34,29,24,33,37
Брест,Твердые частицы,26,28,23,28,28,27,18,27,33,35
Брест,Диоксид серы,1,1,<1,<1,<1,<1,<1,<1,<1,15
Брест,Оксид углерода,708,795,800,593,544,511,613,797,913,938
Брест,Диоксид азота,27,31,29,26,23,24,26,33,34,39
Брест,Приземный озон,–,–,–,–,–,–,50,62,65,54
Витебск,Твердые частицы,84,110,97,109,117,116,115,112,113,52
Витебск,Диоксид серы,<1,<1,<1,<1,<1,0,<1,<1,<1,–
Витебск,Оксид углерода,793,1003,1042,658,523,757,675,610,517,530
Витебск,Диоксид азота,39,40,40,45,41,32,36,35,32,41
Витебск,Приземный озон,–,–,–,–,42,51,42,–,–,–
Гомель,Твердые частицы,45,29,61,51,63,52,45,23,29,33
Гомель,Диоксид серы,5,6,7,8,5,8,17,9,<1,–
Гомель,Оксид углерода,441,427,436,439,451,496,444,422,452,500
Гомель,Диоксид азота,21,23,20,19,21,17,20,21,17,26
Гомель,Приземный озон,–,–,–,–,–,–,–,52,54,44
Гродно,Твердые частицы,40,33,53,57,51,37,40,37,26,31
Гродно,Диоксид серы,<1,1,<1,<1,<1,<1,<1,1,<1,15
Гродно,Оксид углерода,1608,1513,1672,771,611,583,665,720,664,509
Гродно,Диоксид азота,35,33,33,31,24,30,28,19,17,26
Гродно,Приземный озон,–,–,–,–,–,–,55,57,65,62
Минск,Твердые частицы,–,–,–,–,15,<15,<15,<15,<15,21
Минск,Диоксид серы,<1,<1,<1,<1,<1,<1,<1,<1,<1,8
Минск,Оксид углерода,680,677,586,472,439,414,386,434,499,470
Минск,Диоксид азота,40,39,33,31,34,34,32,37,39,37
Могилев,Твердые частицы,42,55,43,46,42,37,47,44,27,<15
Могилев,Диоксид серы,<1,<1,<1,<1,<1,<1,<1,<1,<1,19
Могилев,Оксид углерода,1098,1018,972,1188,943,879,875,670,661,495
Могилев,Диоксид азота,49,50,57,57,53,52,55,49,49,51
Новополоцк,Твердые частицы,30,22,21,17,<15,<15,<15,<15,<15,<15
Новополоцк,Диоксид серы,2,2,1,<1,1,2,1,1,3,32
Новополоцк,Оксид углерода,902,792,875,1268,1633,1509,835,330,577,916
Новополоцк,Диоксид азота,38,34,37,37,45,40,42,47,54,46
Новополоцк,Приземный озон,–,–,–,–,–,–,56,55,59,48
Орша,Твердые частицы,–,–,–,–,15,15,15,<15,<15,<15
Орша,Оксид углерода,2154,1579,1075,1142,1065,788,762,749,781,1100
Орша,Диоксид азота,24,22,20,24,22,25,21,25,21,23
Пинск,Твердые частицы,82,76,59,67,57,46,52,42,20,43
Пинск,Оксид углерода,540,640,577,424,478,491,369,419,515,517
Пинск,Диоксид азота,19,22,18,27,33,18,16,32,49,22
Полоцк,Твердые частицы,54,39,31,26,25,<15,<15,<15,<15,<15
Полоцк,Диоксид серы,1,1,1,<1,1,3,1,2,4,46
Полоцк,Оксид углерода,1183,1149,682,934,1739,1946,1169,483,797,1256
Полоцк,Диоксид азота,41,42,43,38,52,47,55,63,59,58
Полоцк,Приземный озон,–,–,–,–,–,–,503),50,55,47
Светлогорск,Твердые частицы,31,29,36,43,30,59,54,35,22,50
Светлогорск,Оксид углерода,698,984,829,1 121,1 715,955,878,648,705,751
Светлогорск,Диоксид азота,23,45,46,60,46,39,33,34,53,32